+-------------+--------------+--------------+-----------------------+------------------+-----+
| c_last_name | c_first_name | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt |
| Figueroa     | Armando      | Dr.          | N                     | 56790083         | 16  |
| Figueroa     | Jeffrey      | Dr.          | Y                     | 38385228         | 15  |
| Figueroa     | Karina       | Miss         | N                     | 40387121         | 15  |
| Figueroa     | Paul         | Dr.          | Y                     | 41892267         | 16  |
| Figueroa     | NULL         | Miss         | NULL                  | 62297927         | 15  |
| Fincher      | Anna         | Mrs.         | Y                     | 61304249         | 15  |
| Findley      | George       | Sir          | Y                     | 69615773         | 15  |
| Fink         | Ava          | Miss         | Y                     | 71110921         | 15  |
| Fink         | John         | Sir          | Y                     | 42179465         | 15  |
| Finley       | Bernard      | Sir          | Y                     | 39561277         | 15  |
| Finley       | Laverne      | Mr.          | Y                     | 46557100         | 16  |
| Finn         | Andria       | Dr.          | Y                     | 44332524         | 15  |
| Finney       | John         | Dr.          | Y                     | 55271532         | 15  |
| Finney       | Justin       | Dr.          | Y                     | 63087166         | 15  |
| Finney       | Liliana      | Mrs.         | N                     | 51611366         | 15  |
| Fischer      | Charles      | Mr.          | N                     | 45999364         | 15  |
| Fischer      | Daniel       | Dr.          | N                     | 63620257         | 15  |
| Fisher       | Alice        | Mrs.         | Y                     | 43155269         | 15  |
| Fisher       | Catalina     | Miss         | N                     | 41393124         | 16  |
| Fisher       | Clemente     | Sir          | N                     | 48780158         | 15  |
| Fisher       | Edwin        | Dr.          | N                     | 70467588         | 15  |
| Fisher       | Gloria       | Ms.          | Y                     | 57764263         | 15  |
| Fisher       | James        | NULL         | NULL                  | 69121197         | 15  |
| Fisher       | Janine       | Mrs.         | Y                     | 51769237         | 16  |
| Fisher       | John         | Dr.          | Y                     | 55436043         | 16  |
| Fisher       | John         | Mr.          | Y                     | 70864256         | 16  |
| Fisher       | Joseph       | Sir          | Y                     | 49349895         | 15  |
| Fisher       | Katrina      | Mrs.         | N                     | 43749531         | 15  |
| Fisher       | Laurel       | Ms.          | Y                     | 69778505         | 15  |
| Fisher       | NULL         | NULL         | NULL                  | 64113871         | 15  |
| Fisk         | Gerald       | Mr.          | Y                     | 40970621         | 15  |
| Fitch        | Becky        | Mrs.         | Y                     | 46541603         | 15  |
| Fitch        | Princess     | Mrs.         | Y                     | 38092328         | 16  |
| Fitts        | Henry        | Sir          | Y                     | 68983566         | 15  |
| Fitzgerald   | Judith       | Mrs.         | N                     | 54221446         | 15  |
| Fitzgerald   | Martha       | Dr.          | N                     | 54348001         | 15  |
| Fitzgerald   | Rosetta      | Ms.          | Y                     | 49350824         | 15  |
| Fitzpatrick  | Joseph       | Sir          | Y                     | 70903042         | 15  |
| Fitzpatrick  | Latasha      | Ms.          | Y                     | 66672900         | 15  |
| Flanders     | Gregory      | Mr.          | Y                     | 57704054         | 15  |
| Flanders     | James        | Dr.          | N                     | 39552350         | 16  |
| Flanders     | Stephanie    | Mrs.         | N                     | 41791947         | 15  |
| Flanigan     | NULL         | NULL         | N                     | 52713548         | 15  |
| Fleck        | Alton        | Mr.          | N                     | 38400092         | 15  |
| Fleming      | Gary         | Dr.          | N                     | 57656055         | 15  |
| Fleming      | Helen        | Mrs.         | N                     | 67398413         | 15  |
| Fleming      | Jared        | Mr.          | Y                     | 39926837         | 15  |
| Fletcher     | Jaime        | Mr.          | N                     | 55274265         | 15  |
| Fletcher     | Leah         | Mrs.         | NULL                  | 64731725         | 15  |
| Flint        | David        | Sir          | N                     | 38972184         | 15  |
| Flint        | James        | Sir          | N                     | 39240718         | 15  |
| Flora        | Michael      | Dr.          | N                     | 52058552         | 15  |
| Florence     | Amber        | Ms.          | Y                     | 36295988         | 16  |
| Flores       | Anita        | Dr.          | Y                     | 60936472         | 16  |
| Flores       | Anna         | Miss         | N                     | 41654924         | 15  |
| Flores       | Dave         | Dr.          | Y                     | 68426790         | 16  |
| Flores       | Eric         | Dr.          | Y                     | 52648144         | 15  |
| Flores       | George       | Dr.          | N                     | 68113001         | 15  |
| Flores       | Glennie      | Dr.          | N                     | 70300202         | 16  |
| Flores       | Jeremy       | Dr.          | N                     | 44355798         | 15  |
| Flores       | Joseph       | Mr.          | N                     | 67213364         | 15  |
| Flores       | Michael      | Dr.          | N                     | 40159227         | 15  |
| Flores       | Mildred      | Mrs.         | Y                     | 45286334         | 15  |
| Flores       | Philip       | Dr.          | N                     | 39497807         | 16  |
| Flores       | Richard      | Dr.          | Y                     | 69763296         | 16  |
| Flores       | Roderick     | Dr.          | N                     | 43724580         | 16  |
| Flores       | Sally        | Mrs.         | N                     | 45573586         | 15  |
| Flores       | Tamar        | Ms.          | N                     | 70190344         | 16  |
| Flores       | Tonia        | Ms.          | Y                     | 57874533         | 15  |
| Flowers      | Doreen       | Mrs.         | N                     | 38480652         | 16  |
| Floyd        | Edith        | Mrs.         | N                     | 43132566         | 15  |
| Floyd        | Janice       | Miss         | Y                     | 67882346         | 15  |
| Flynn        | Paul         | Mr.          | Y                     | 59395852         | 16  |
| Fogle        | John         | Sir          | Y                     | 41739689         | 15  |
| Foley        | Anna         | Miss         | N                     | 59505127         | 15  |
| Foley        | Michael      | Dr.          | N                     | 62998189         | 16  |
| Foley        | Robert       | Dr.          | N                     | 65585100         | 15  |
| Fong         | Michele      | Miss         | N                     | 38059472         | 15  |
| Fontaine     | Charles      | Dr.          | N                     | 36295989         | 15  |
| Forbes       | Annie        | Miss         | Y                     | 67349516         | 15  |
| Forbes       | Irene        | Miss         | N                     | 59481786         | 15  |
| Forbes       | Jesse        | Sir          | N                     | 41046954         | 15  |
| Forbes       | Jocelyn      | Dr.          | N                     | 57711461         | 15  |
| Forbes       | Katherine    | Ms.          | Y                     | 42612316         | 15  |
| Ford         | Albert       | Dr.          | N                     | 40283503         | 15  |
| Ford         | Betty        | Dr.          | N                     | 59611093         | 15  |
| Ford         | David        | Sir          | Y                     | 44661590         | 16  |
| Ford         | Elizabeth    | Dr.          | Y                     | 65145907         | 15  |
| Ford         | Erik         | Mr.          | N                     | 39428913         | 15  |
| Ford         | Geraldine    | Mrs.         | N                     | 40856071         | 16  |
| Ford         | Jacqueline   | Ms.          | Y                     | 38496731         | 15  |
| Ford         | John         | Sir          | Y                     | 59374212         | 15  |
| Ford         | Karol        | Ms.          | Y                     | 50715479         | 15  |
| Ford         | Lyman        | Dr.          | Y                     | 62034067         | 16  |
| Ford         | Melissa      | Ms.          | Y                     | 48855837         | 16  |
| Foreman      | Bonnie       | Mrs.         | N                     | 68286113         | 16  |
| Forest       | Tony         | Dr.          | N                     | 56627830         | 15  |
| Forman       | Odessa       | Mrs.         | Y                     | 40077977         | 16  |
| Forney       | Audrey       | Mrs.         | Y                     | 55808556         | 15  |
| Forney       | NULL         | NULL         | NULL                  | 37182350         | 15  |
| Forrester    | Mark         | Sir          | Y                     | 50764601         | 15  |
| Forsythe     | Sheila       | Dr.          | Y                     | 68726846         | 15  |
| Forte        | Larry        | Sir          | Y                     | 36759685         | 15  |
| Fortin       | Woodrow      | Dr.          | Y                     | 71460745         | 15  |
| Fortner      | Robert       | Sir          | Y                     | 62608931         | 15  |
| Fortune      | Laura        | Dr.          | N                     | 60125220         | 16  |
| Foss         | Ed           | Sir          | Y                     | 60982304         | 16  |
| Foster       | Billy        | Dr.          | Y                     | 54650828         | 16  |
| Foster       | Cordie       | Miss         | N                     | 56488080         | 15  |
| Foster       | Jessica      | Ms.          | N                     | 48816595         | 15  |
| Foster       | John         | Sir          | N                     | 47883360         | 15  |
| Foster       | Mike         | Sir          | N                     | 67398833         | 16  |
| Foster       | Trevor       | Sir          | N                     | 68120490         | 15  |
| Fountain     | Ricky        | Dr.          | N                     | 36121370         | 15  |
| Fournier     | Kimberly     | Mrs.         | Y                     | 56825406         | 15  |
| Foust        | Gaston       | Dr.          | N                     | 40069182         | 16  |
| Fowler       | Daniel       | Dr.          | Y                     | 63515882         | 15  |
| Fowler       | Edward       | Dr.          | N                     | 56911272         | 16  |
| Fowler       | Ernest       | Sir          | N                     | 71513547         | 15  |
| Fowler       | Goldie       | Dr.          | Y                     | 66591382         | 15  |
| Fowler       | Jeanette     | Mrs.         | N                     | 57859423         | 15  |
| Fowler       | Larry        | Mr.          | Y                     | 39024665         | 16  |
| Fox          | Autumn       | Miss         | N                     | 65363912         | 15  |
| Fox          | Gina         | Ms.          | Y                     | 64124665         | 16  |
| Fox          | Martha       | Ms.          | N                     | 57808924         | 16  |
| Foy          | Shawn        | Sir          | Y                     | 59409051         | 15  |
| Fraley       | Henry        | Mr.          | N                     | 69943015         | 15  |
| Fraley       | Janet        | Ms.          | Y                     | 60036916         | 15  |
| Francis      | Jeanne       | Mrs.         | Y                     | 65591151         | 15  |
| Francis      | Robert       | Sir          | N                     | 67140186         | 15  |
| Francis      | Rodger       | Sir          | Y                     | 55521020         | 15  |
| Francis      | Steve        | Mr.          | Y                     | 61300765         | 16  |
| Francisco    | Dominic      | Sir          | Y                     | 47652305         | 15  |
+--------------+--------------+--------------+-----------------------+------------------+-----+
+--------------+--------------+--------------+-----------------------+------------------+-----+
| c_last_name  | c_first_name | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt |
+--------------+--------------+--------------+-----------------------+------------------+-----+
| Frank        | Michael      | Mr.          | N                     | 40788889         | 15  |
| Frank        | Scott        | Dr.          | Y                     | 54889423         | 15  |
| Franklin     | Christine    | Dr.          | Y                     | 64457285         | 16  |
| Franklin     | Donald       | Dr.          | Y                     | 54609197         | 15  |
| Franklin     | Donna        | Mrs.         | N                     | 64255170         | 16  |
| Franklin     | John         | Sir          | Y                     | 69091603         | 15  |
| Franklin     | Joseph       | Mr.          | Y                     | 54936476         | 16  |
| Franklin     | Josephine    | Mrs.         | N                     | 50114398         | 16  |
| Franz        | Nancy        | Miss         | N                     | 52131673         | 15  |
| Frazier      | Adolph       | Dr.          | N                     | 39917279         | 15  |
| Frazier      | Chad         | Mr.          | N                     | 63974302         | 15  |
| Frazier      | Gabrielle    | Miss         | Y                     | 40601131         | 15  |
| Frazier      | Jennifer     | Mrs.         | Y                     | 42967314         | 15  |
| Frazier      | Joseph       | Sir          | N                     | 51920539         | 15  |
| Frazier      | Lisa         | Miss         | Y                     | 63484130         | 15  |
| Frazier      | Randy        | Mr.          | N                     | 68324053         | 15  |
| Frazier      | Steven       | Mr.          | Y                     | 46166769         | 15  |
| Frederick    | Lula         | Dr.          | Y                     | 57913872         | 15  |
| Fredericks   | Phyllis      | Mrs.         | Y                     | 69462476         | 15  |
| Fredrick     | Michael      | Sir          | Y                     | 61586937         | 15  |
| Free         | Gregory      | Dr.          | N                     | 58243702         | 15  |
| Freeman      | Anthony      | Dr.          | Y                     | 40798932         | 15  |
| Freeman      | Bert         | Sir          | Y                     | 57477705         | 15  |
| Freeman      | Jerry        | Dr.          | Y                     | 60745480         | 15  |
| Freeman      | Lorraine     | Dr.          | Y                     | 71604645         | 15  |
| Freeman      | Micah        | Dr.          | Y                     | 43812254         | 15  |
| Freese       | Derek        | Dr.          | Y                     | 66991150         | 15  |
| French       | John         | Dr.          | N                     | 65363545         | 16  |
| Frey         | Deborah      | Mrs.         | Y                     | 45923489         | 15  |
| Frey         | Lisa         | Mrs.         | Y                     | 62699324         | 16  |
| Frias        | Michael      | Dr.          | N                     | 43301217         | 15  |
| Frias        | Sherry       | Ms.          | Y                     | 45029590         | 15  |
| Frick        | Deanna       | Dr.          | N                     | 39625858         | 15  |
| Frick        | Jeremy       | Dr.          | N                     | 43260602         | 15  |
| Friedman     | Hector       | Dr.          | N                     | 43400320         | 15  |
| Friedman     | Joni         | Mrs.         | Y                     | 62851968         | 16  |
| Friend       | Karen        | Dr.          | Y                     | 42572029         | 15  |
| Fritz        | Victor       | Dr.          | N                     | 70039751         | 16  |
| Frost        | John         | Mr.          | Y                     | 37666992         | 15  |
| Frost        | Norman       | Mr.          | Y                     | 42156338         | 15  |
| Fry          | James        | Dr.          | Y                     | 63899767         | 15  |
| Fry          | Ramiro       | Mr.          | N                     | 53255852         | 15  |
| Frye         | Carolyn      | Dr.          | Y                     | 43162944         | 15  |
| Frye         | Stephanie    | Dr.          | Y                     | 40428411         | 15  |
| Fryer        | Luther       | Sir          | N                     | 62360003         | 15  |
| Fryer        | Regina       | Mrs.         | Y                     | 37795366         | 15  |
| Fuentes      | Ronnie       | Sir          | N                     | 49691749         | 15  |
| Fugate       | Lori         | Miss         | Y                     | 42989281         | 16  |
| Fulkerson    | Edna         | Mrs.         | N                     | 40701715         | 15  |
| Fuller       | Carla        | Ms.          | N                     | 56971773         | 16  |
| Fuller       | Carlos       | Sir          | N                     | 60116131         | 15  |
| Fuller       | Kenneth      | Mr.          | N                     | 65333926         | 15  |
| Fuller       | Lois         | Ms.          | N                     | 42385055         | 16  |
| Fuller       | Michael      | Dr.          | Y                     | 47905363         | 15  |
| Fuller       | Ronald       | Dr.          | N                     | 51676634         | 15  |
| Fulton       | Felix        | Dr.          | Y                     | 48181352         | 15  |
| Fulton       | Frank        | Mr.          | N                     | 47939089         | 15  |
| Fulton       | Verna        | Miss         | Y                     | 48690062         | 15  |
| Funk         | Otto         | Dr.          | Y                     | 47615434         | 15  |
| Furlong      | Un           | Dr.          | Y                     | 41621982         | 15  |
| Fusco        | Amie         | Miss         | Y                     | 57550549         | 15  |
| Gabriel      | Vivian       | Dr.          | Y                     | 58000420         | 15  |
| Gaddy        | Abigail      | Ms.          | N                     | 39772080         | 15  |
| Gagne        | Donald       | Sir          | Y                     | 41852502         | 16  |
| Gagne        | Elizabeth    | Miss         | N                     | 50452347         | 15  |
| Gagnon       | Scott        | Sir          | N                     | 44598198         | 15  |
| Gaines       | Angela       | Ms.          | N                     | 36853961         | 16  |
| Gaines       | Jessica      | Ms.          | Y                     | 36772816         | 16  |
| Gaines       | Todd         | Dr.          | Y                     | 48715040         | 16  |
| Gaines       | Virgie       | Mrs.         | Y                     | 66887736         | 15  |
| Gallant      | Matthew      | Mr.          | Y                     | 44921037         | 15  |
| Gallardo     | Annette      | Ms.          | Y                     | 52796621         | 15  |
| Gallardo     | Timothy      | Sir          | N                     | 44723790         | 15  |
| Gallegos     | Lucie        | Ms.          | Y                     | 40311365         | 15  |
| Gallegos     | Mario        | Dr.          | Y                     | 58747105         | 15  |
| Galvan       | Matthew      | Mr.          | Y                     | 65864920         | 15  |
| Galvez       | Catherine    | Dr.          | N                     | 65778454         | 15  |
| Gamez        | Daniel       | Mr.          | N                     | 39421940         | 16  |
| Gannon       | Lloyd        | Mr.          | Y                     | 65920946         | 15  |
| Gantt        | Norman       | Mr.          | N                     | 63917033         | 15  |
| Garcia       | Alida        | Mrs.         | N                     | 51566168         | 15  |
| Garcia       | Anna         | Mrs.         | Y                     | 52455950         | 16  |
| Garcia       | Charlie      | Sir          | Y                     | 37840108         | 15  |
| Garcia       | Cindy        | Ms.          | Y                     | 65208965         | 15  |
| Garcia       | Claudine     | Dr.          | N                     | 54063661         | 15  |
| Garcia       | Daryl        | Sir          | N                     | 38705615         | 15  |
| Garcia       | David        | Mr.          | Y                     | 63410276         | 15  |
| Garcia       | Francine     | Mrs.         | N                     | 71249888         | 15  |
| Garcia       | Fred         | Mr.          | Y                     | 66517273         | 15  |
| Garcia       | George       | Sir          | N                     | 43061976         | 15  |
| Garcia       | Harold       | Dr.          | N                     | 42558872         | 15  |
| Garcia       | Jack         | Mr.          | Y                     | 46934361         | 16  |
| Garcia       | James        | Sir          | Y                     | 52261324         | 15  |
| Garcia       | John         | Sir          | Y                     | 55850084         | 16  |
| Garcia       | Kyle         | Mr.          | Y                     | 44206727         | 15  |
| Garcia       | Leslie       | Dr.          | N                     | 64361950         | 16  |
| Garcia       | Lewis        | Dr.          | Y                     | 45859317         | 15  |
| Garcia       | Manuel       | Sir          | N                     | 55012407         | 16  |
| Garcia       | Mark         | Mr.          | Y                     | 47136901         | 15  |
| Garcia       | Michael      | Mr.          | Y                     | 66090459         | 15  |
| Garcia       | Michael      | Mr.          | N                     | 49710677         | 15  |
| Garcia       | Michael      | Sir          | N                     | 71473524         | 15  |
| Garcia       | Nicole       | Ms.          | N                     | 47998895         | 15  |
| Garcia       | Roy          | Mr.          | Y                     | 56713861         | 15  |
| Garcia       | Thomas       | Sir          | N                     | 45372391         | 15  |
| Gardner      | Eric         | Dr.          | Y                     | 63817314         | 15  |
| Gardner      | Guy          | Sir          | Y                     | 51622718         | 15  |
| Gardner      | Jane         | Miss         | N                     | 46499293         | 16  |
| Gardner      | John         | Dr.          | N                     | 42798903         | 15  |
| Gardner      | Ronald       | Dr.          | N                     | 59866543         | 16  |
| Garland      | Carolyn      | Miss         | N                     | 68843531         | 16  |
| Garland      | Kathy        | Miss         | Y                     | 37786005         | 15  |
| Garner       | Patty        | Dr.          | Y                     | 69913493         | 15  |
| Garner       | Robert       | Mr.          | N                     | 58222036         | 15  |
| Garnett      | Janette      | Ms.          | Y                     | 62641695         | 16  |
| Garrett      | Jayson       | Mr.          | N                     | 45548744         | 15  |
| Garrett      | Luis         | Mr.          | N                     | 57804901         | 16  |
| Garrett      | Marilyn      | Ms.          | Y                     | 42499964         | 15  |
| Garrett      | Robert       | Mr.          | N                     | 51221858         | 15  |
| Garrett      | Steven       | Sir          | Y                     | 61129779         | 16  |
| Garrett      | Teri         | Miss         | Y                     | 68016705         | 15  |
| Garrison     | Arthur       | Miss         | N                     | 41267800         | 15  |
| Garrison     | Steven       | Sir          | N                     | 45834919         | 15  |
| Garza        | Allen        | Mrs.         | Y                     | 53797025         | 16  |
| Garza        | David        | Sir          | N                     | 44291215         | 15  |
| Garza        | Leonard      | Sir          | N                     | 64045721         | 15  |
| Garza        | Mark         | Dr.          | Y                     | 46744230         | 15  |
| Garza        | Rosanna      | Miss         | Y                     | 40871864         | 16  |
| Garza        | Tim          | Dr.          | N                     | 51464158         | 16  |
| Gaskins      | Anna         | Dr.          | N                     | 70988430         | 16  |
| Gaston       | Yvonne       | Dr.          | Y                     | 64523358         | 15  |
| Gates        | Irma         | Miss         | Y                     | 57853918         | 15  |
| Gay          | Adam         | Mrs.         | Y                     | 48047430         | 15  |
| Gay          | NULL         | NULL         | NULL                  | 36244885         | 16  |
| Gaytan       | Arlene       | Mrs.         | Y                     | 67699771         | 15  |
| Geary        | Carlos       | Sir          | Y                     | 62766939         | 15  |
| Gentile      | Francisca    | Ms.          | Y                     | 42669205         | 16  |
| Gentry       | Geoffrey     | Sir          | Y                     | 51387917         | 15  |
| George       | Evelyn       | Dr.          | N                     | 50752135         | 15  |
| George       | Jason        | Sir          | Y                     | 56377606         | 16  |
| George       | Margaret     | Ms.          | Y                     | 43540825         | 15  |
| George       | NULL         | NULL         | NULL                  | 66728100         | 16  |
| Gerber       | Royce        | Mr.          | Y                     | 38893143         | 15  |
| Gerber       | Shawnda      | Ms.          | Y                     | 60892835         | 15  |
| German       | Kenneth      | Dr.          | N                     | 70377455         | 16  |
| German       | Paul         | Dr.          | Y                     | 68856382         | 15  |
| Gibbons      | Kenneth      | Mr.          | N                     | 62481712         | 15  |
| Gibbs        | Anthony      | Miss         | N                     | 69045382         | 15  |
| Gibbs        | Eddie        | Sir          | Y                     | 48076158         | 15  |
| Gibbs        | Joseph       | Mr.          | N                     | 40094234         | 15  |
| Gibbs        | Owen         | Mr.          | N                     | 41874351         | 15  |
| Gibbs        | Tiffany      | Miss         | Y                     | 70296485         | 15  |
| Gibson       | Amy          | Miss         | N                     | 41969880         | 16  |
| Gibson       | Corey        | Mr.          | N                     | 37416929         | 15  |
| Gibson       | Diane        | Dr.          | Y                     | 70665713         | 15  |
| Gibson       | Janet        | Mrs.         | N                     | 70355891         | 15  |
| Gibson       | Lillian      | Mrs.         | Y                     | 64207457         | 15  |
| Gibson       | Myra         | Miss         | Y                     | 36429667         | 16  |
| Gibson       | Shelly       | Miss         | N                     | 56348592         | 15  |
| Gifford      | Charles      | Sir          | N                     | 59697505         | 16  |
| Gilbert      | Albert       | Dr.          | Y                     | 65138082         | 16  |
| Gilbert      | Dan          | Mr.          | Y                     | 62026101         | 16  |
| Gilbert      | Linda        | Mrs.         | N                     | 59402299         | 16  |
| Gilbertson   | Bailey       | Miss         | Y                     | 37588033         | 15  |
| Giles        | Jose         | Mr.          | Y                     | 68468130         | 15  |
| Giles        | NULL         | Sir          | Y                     | 40108418         | 15  |
| Gill         | Gregory      | Mr.          | Y                     | 58145879         | 16  |
| Gillespie    | Denise       | Miss         | N                     | 65888450         | 15  |
| Gilliland    | Michael      | Dr.          | N                     | 70859807         | 15  |
| Gillis       | Jerry        | Dr.          | N                     | 62260613         | 15  |
| Gilmore      | Karen        | Ms.          | Y                     | 60171437         | 15  |
| Gilmore      | Rosa         | Miss         | Y                     | 50452763         | 15  |
| Gilmore      | Theodore     | Sir          | N                     | 59286454         | 15  |
| Giordano     | Miguel       | Mr.          | Y                     | 41167316         | 15  |
| Giordano     | Rodney       | Dr.          | N                     | 61470128         | 15  |
| Gipson       | Jaime        | Sir          | Y                     | 57927062         | 15  |
| Givens       | Leticia      | Ms.          | N                     | 61946945         | 15  |
| Givens       | Matthew      | Sir          | N                     | 55526119         | 15  |
| Gladney      | Ricky        | Mr.          | Y                     | 56086847         | 16  |
| Glaser       | William      | Mr.          | N                     | 57481079         | 15  |
| Glass        | Bethel       | Ms.          | Y                     | 51829071         | 15  |
| Glass        | Herbert      | Sir          | N                     | 63879072         | 16  |
| Glaze        | Anna         | Dr.          | Y                     | 52950873         | 15  |
| Gleason      | Christoper   | Dr.          | N                     | 41896818         | 16  |
| Gleason      | Deborah      | Miss         | N                     | 58870646         | 16  |
| Glenn        | Eddie        | Dr.          | N                     | 63874789         | 16  |
| Glenn        | Richard      | Dr.          | N                     | 67991581         | 16  |
| Glenn        | Victoria     | Miss         | Y                     | 41941513         | 15  |
| Glenn        | NULL         | Mr.          | NULL                  | 71841685         | 16  |
| Glover       | Donna        | Mrs.         | Y                     | 49529044         | 15  |
| Glover       | Horace       | Mr.          | N                     | 64219028         | 15  |
| Glover       | Sean         | Sir          | Y                     | 64164806         | 15  |
| Goddard      | Colleen      | Dr.          | N                     | 51018386         | 15  |
| Godfrey      | Charles      | Sir          | N                     | 71109401         | 16  |
| Godfrey      | Dorothy      | Ms.          | N                     | 49354300         | 15  |
| Godfrey      | Elmo         | Mr.          | N                     | 48296674         | 15  |
| Godinez      | Carri        | Mrs.         | N                     | 70880492         | 16  |
| Godinez      | Emma         | Ms.          | N                     | 62495227         | 16  |
| Godwin       | Tamara       | Miss         | N                     | 38021731         | 15  |
| Godwin       | Tyler        | Mr.          | N                     | 52871113         | 15  |
| Goebel       | Latonya      | Miss         | Y                     | 44803332         | 15  |
| Goforth      | Sunny        | Dr.          | N                     | 52245079         | 15  |
| Goins        | Tina         | Miss         | N                     | 64192264         | 15  |
| Gold         | Michael      | Dr.          | Y                     | 36796353         | 15  |
| Goldberg     | Elizabeth    | Ms.          | Y                     | 55990811         | 15  |
| Golden       | Stephen      | Sir          | N                     | 50675450         | 16  |
| Golding      | Ola          | Ms.          | Y                     | 50474362         | 15  |
| Goldsmith    | Jo           | Mrs.         | N                     | 59886636         | 16  |
| Gomez        | Jeanette     | Ms.          | Y                     | 47457532         | 15  |
| Gomez        | Louis        | Mr.          | Y                     | 49617481         | 15  |
| Gomez        | Margaret     | Ms.          | N                     | 56575482         | 15  |
| Gomez        | Michael      | Sir          | Y                     | 71138599         | 15  |
| Gomez        | Miriam       | Mrs.         | Y                     | 61960710         | 15  |
| Gomez        | Thomas       | NULL         | N                     | 50767433         | 15  |
| Gomez        | NULL         | NULL         | NULL                  | 40761969         | 15  |
| Gonsalves    | Louis        | Mr.          | Y                     | 47054685         | 16  |
| Gonzales     | Arnold       | Sir          | N                     | 56925544         | 15  |
| Gonzales     | Aubrey       | Dr.          | N                     | 42257266         | 16  |
| Gonzales     | Donald       | Dr.          | N                     | 61474179         | 16  |
| Gonzales     | Holly        | Miss         | N                     | 58932088         | 15  |
| Gonzales     | Jerry        | Dr.          | N                     | 54465503         | 15  |
| Gonzales     | John         | Mr.          | N                     | 42026906         | 16  |
| Gonzales     | Keva         | Mrs.         | Y                     | 62456601         | 16  |
| Gonzales     | Mae          | Dr.          | N                     | 59557396         | 15  |
| Gonzales     | Phyllis      | Mrs.         | Y                     | 68930289         | 16  |
| Gonzales     | Robert       | Dr.          | N                     | 67370450         | 15  |
| Gonzales     | Sherman      | Dr.          | Y                     | 43706446         | 15  |
| Gonzalez     | Anthony      | Mrs.         | Y                     | 51373791         | 15  |
| Gonzalez     | Gilbert      | Mr.          | Y                     | 39151506         | 15  |
| Gonzalez     | Gregory      | Dr.          | Y                     | 46775741         | 15  |
| Gonzalez     | Howard       | Sir          | N                     | 39081541         | 16  |
| Gonzalez     | Ingrid       | Dr.          | Y                     | 57898620         | 15  |
| Gonzalez     | Jessica      | Dr.          | N                     | 64075522         | 15  |
| Gonzalez     | Joshua       | Sir          | N                     | 58343451         | 15  |
| Gonzalez     | Juanita      | Mrs.         | Y                     | 69734689         | 16  |
| Gonzalez     | Natasha      | Dr.          | Y                     | 56185905         | 16  |
| Gonzalez     | Otis         | Sir          | Y                     | 61134623         | 15  |
| Gonzalez     | Rodney       | Dr.          | N                     | 51362970         | 15  |
| Gonzalez     | Rueben       | Sir          | N                     | 46674912         | 15  |
| Gonzalez     | Saundra      | Dr.          | N                     | 61446763         | 15  |
| Gonzalez     | Terry        | Sir          | N                     | 63338715         | 16  |
| Gonzalez     | Thomas       | Sir          | Y                     | 49554661         | 16  |
| Gonzalez     | Virginia     | Ms.          | Y                     | 55388688         | 15  |
| Gonzalez     | William      | Mr.          | N                     | 57839399         | 15  |
| Gonzalez     | Yvette       | Dr.          | N                     | 52190260         | 15  |
| Gonzalez     | NULL         | Miss         | N                     | 62991940         | 15  |
| Gonzalez     | NULL         | NULL         | Y                     | 63180200         | 16  |
| Good         | Joanna       | Mrs.         | Y                     | 43027648         | 16  |
| Goode        | Leroy        | NULL         | NULL                  | 57491912         | 15  |
| Goodin       | Zita         | Miss         | Y                     | 61069531         | 15  |
| Goodman      | Lester       | Mr.          | Y                     | 55410847         | 16  |
| Goodman      | Roberto      | Sir          | N                     | 63975182         | 15  |
| Goodman      | Ronald       | Dr.          | N                     | 55402387         | 16  |
| Goodrich     | Leonard      | Mr.          | Y                     | 48327908         | 15  |
| Goodwin      | Eddie        | Mr.          | N                     | 55657731         | 15  |
| Goodwin      | Marion       | Mr.          | Y                     | 58908421         | 16  |
| Goodwin      | Melanie      | Dr.          | N                     | 69265840         | 15  |
| Gordon       | Arthur       | Ms.          | Y                     | 42674237         | 15  |
| Gordon       | David        | Sir          | Y                     | 43985066         | 15  |
| Gordon       | Donald       | Dr.          | Y                     | 67113121         | 15  |
| Gordon       | Dora         | Mrs.         | N                     | 51493531         | 15  |
| Gordon       | Helen        | Miss         | Y                     | 55974237         | 15  |
| Gordon       | Jennifer     | Miss         | Y                     | 56026676         | 15  |
| Gordon       | Lillian      | Dr.          | N                     | 69689657         | 15  |
| Gordon       | Marian       | Dr.          | Y                     | 51854739         | 15  |
| Gordon       | Rose         | Mrs.         | N                     | 57372145         | 16  |
| Gore         | Heather      | Miss         | Y                     | 39859874         | 15  |
| Gore         | Kristi       | NULL         | Y                     | 40003698         | 16  |
| Gorman       | Jared        | Dr.          | Y                     | 42575418         | 15  |
| Goss         | Bradley      | Dr.          | N                     | 59805064         | 15  |
| Goss         | Eva          | Mrs.         | Y                     | 71527747         | 15  |
| Goss         | Gary         | Dr.          | N                     | 52049516         | 15  |
| Gossett      | NULL         | Dr.          | N                     | 41512581         | 16  |
| Gould        | Brian        | Dr.          | Y                     | 48525306         | 15  |
| Gould        | Charles      | Dr.          | N                     | 57608026         | 15  |
